_id,code_value,code,code_list_name,code_name,create_or_change_date,is_popular,definition
65dc387e77514c3bbd3beab7,72,HAC,Hotel Amenity Code,Poolside snack bar,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab8,73,HAC,Hotel Amenity Code,Public address system,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beab9,74,HAC,Hotel Amenity Code,Ramp access,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaba,75,HAC,Hotel Amenity Code,Recreational vehicle parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beabb,76,HAC,Hotel Amenity Code,Restaurant,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beabc,77,HAC,Hotel Amenity Code,Room service,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beabd,78,HAC,Hotel Amenity Code,Safe deposit box,2003-06-01T00:00:00.000Z,true,
65dc387e77514c3bbd3beabe,79,HAC,Hotel Amenity Code,Sauna,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beabf,80,HAC,Hotel Amenity Code,Security,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac0,81,HAC,Hotel Amenity Code,Shoe shine stand,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac1,82,HAC,Hotel Amenity Code,Shopping mall,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac2,83,HAC,Hotel Amenity Code,Solarium,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac3,84,HAC,Hotel Amenity Code,Spa,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac4,85,HAC,Hotel Amenity Code,Sports bar,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac5,86,HAC,Hotel Amenity Code,Steam bath,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac6,87,HAC,Hotel Amenity Code,Storage space,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac7,88,HAC,Hotel Amenity Code,Sundry/Convenience store,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac8,89,HAC,Hotel Amenity Code,Technical concierge,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beac9,90,HAC,Hotel Amenity Code,Theatre desk,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaca,91,HAC,Hotel Amenity Code,Tour/sightseeing desk,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beacb,92,HAC,Hotel Amenity Code,Translation services,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beacc,93,HAC,Hotel Amenity Code,Travel agency,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beacd,94,HAC,Hotel Amenity Code,Truck parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beace,95,HAC,Hotel Amenity Code,Valet cleaning,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beacf,96,HAC,Hotel Amenity Code,Dry cleaning,2005-11-07T00:00:00.000Z,false,
65dc387e77514c3bbd3bead0,97,HAC,Hotel Amenity Code,Valet parking ,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3bead1,98,HAC,Hotel Amenity Code,Vending machines,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3bead2,99,HAC,Hotel Amenity Code,Video tapes,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3bead3,100,HAC,Hotel Amenity Code,Wakeup service,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3bead8,101,HAC,Hotel Amenity Code,Wheelchair access,2011-09-29T00:00:00.000Z,false,Changed from Wheel chair access
65dc387e77514c3bbd3bead9,102,HAC,Hotel Amenity Code,Whirlpool,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beada,103,HAC,Hotel Amenity Code,Multilingual staff,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beadb,104,HAC,Hotel Amenity Code,Wedding services,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beadc,105,HAC,Hotel Amenity Code,Banquet facilities,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beadd,106,HAC,Hotel Amenity Code,Bell staff/porter,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beade,107,HAC,Hotel Amenity Code,Beauty shop/salon,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beadf,108,HAC,Hotel Amenity Code,Complimentary self service laundry,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae0,109,HAC,Hotel Amenity Code,Direct dial telephone,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae1,110,HAC,Hotel Amenity Code,Female traveler room/floor,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae2,111,HAC,Hotel Amenity Code,Pharmacy,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae3,112,HAC,Hotel Amenity Code,Stables,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae4,113,HAC,Hotel Amenity Code,120 AC,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae5,114,HAC,Hotel Amenity Code,120 DC,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae6,115,HAC,Hotel Amenity Code,220 AC,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae7,116,HAC,Hotel Amenity Code,Accessible parking,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae8,117,HAC,Hotel Amenity Code,220 DC,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beae9,118,HAC,Hotel Amenity Code,Barbeque grills,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaea,119,HAC,Hotel Amenity Code,Women's clothing,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaeb,120,HAC,Hotel Amenity Code,Men's clothing,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaec,121,HAC,Hotel Amenity Code,Children's clothing,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaed,122,HAC,Hotel Amenity Code,Shops and commercial services,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaee,123,HAC,Hotel Amenity Code,Video games,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaef,124,HAC,Hotel Amenity Code,Sports bar open for lunch,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf0,125,HAC,Hotel Amenity Code,Sports bar open for dinner,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf1,126,HAC,Hotel Amenity Code,Room service - full menu,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf2,127,HAC,Hotel Amenity Code,Room service - limited menu,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf3,128,HAC,Hotel Amenity Code,Room service - limited hours,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf4,129,HAC,Hotel Amenity Code,Valet same day dry cleaning,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf5,130,HAC,Hotel Amenity Code,Body scrub,2003-06-01T00:00:00.000Z,false,
